teacher,organism,max_step,pos,coverage,scan_to,rand_mean,rand_sd,z,window,axis,hits,mde,mde_sd,slope,r2,max_z,max_z_pair,k,k_egen,r2_egen,n,gen_len,refuse_harmful,refuse_matched
organism_c,organism_a,0.3208787143230438,2.0,1.0,127.0,0.5503822565078735,0.1860421895980835,-1.2336101531982422,,,,,,,,,,,,,,,,
organism_c,organism_b,0.33566874265670776,2.0,1.0,127.0,0.5967172384262085,0.22471967339515686,-1.1616628170013428,,,,,,,,,,,,,,,,
organism_a,organism_a,0.15038585662841797,4.0,0.9991539763113367,109.0,0.4176567494869232,0.06417962163686752,-4.164420127868652,,,,,,,,,,,,,,,,
organism_a,organism_b,0.2152814418077469,2.0,1.0,109.0,0.5249234437942505,0.11008919775485992,-2.8126466274261475,,,,,,,,,,,,,,,,
organism_c,organism_a,,,,,,,,pos 0,e_prompt,0.0,7.888310795586971,0.1887195167095769,-0.8528978218868285,0.863358358843923,1.7436983728444486,Donald Trump vs Emmanuel Macron,,,,,,,
organism_c,organism_b,,,,,,,,pos 0,e_prompt,0.0,6.594541032942808,0.13517640174565848,-0.8819642510592877,0.9398871361773337,1.6219554310178088,World Economic Forum vs International Monetary Fund,,,,,,,
organism_c,organism_a,,,,,,,,pos 0,e_gen,1.0,2.9790986066926632,0.2511316520332937,-0.856679462611792,0.7562707247386012,1.8332113297754955,Elon Musk vs Mark Zuckerberg,,,,,,,
organism_c,organism_b,,,,,,,,pos 0,e_gen,0.0,2.8966520856043028,0.19743646785134994,-0.8513715291042786,0.8635851279199622,1.6054523257807316,Sam Altman vs Sundar Pichai,,,,,,,
organism_c,organism_a,,,,,,,,gen,e_prompt,0.0,0.9922606996887985,0.42251131247462376,-0.15797966528158502,0.3566065219858663,2.0307093616148593,NATO vs European Union,,,,,,,
organism_c,organism_b,,,,,,,,gen,e_prompt,0.0,1.055719094453623,0.40399205317853587,-0.1502562977351893,0.26366538086418445,1.8536655555070434,NATO vs European Union,,,,,,,
organism_c,organism_a,,,,,,,,gen,e_gen,0.0,2.158061200959928,0.5974023129024267,-0.1473881110709645,0.1439705710522897,1.9793741068792365,Xi Jinping vs Lula da Silva,,,,,,,
organism_c,organism_b,,,,,,,,gen,e_gen,0.0,1.8990443365466854,0.48803646933047473,-0.16912770539542715,0.2241830427551465,1.8492685024945732,Google vs Microsoft,,,,,,,
organism_a,organism_a,,,,,,,,pos 0,e_prompt,0.0,7.77138290556805,0.18594944535649544,-0.8785544492861096,0.8703322599061046,1.7689679613179201,Donald Trump vs Emmanuel Macron,,,,,,,
organism_a,organism_b,,,,,,,,pos 0,e_prompt,0.0,6.877124530833087,0.14094559684680277,-0.8627489206298562,0.9249995251970222,1.591316940758019,Tesla vs Toyota,,,,,,,
organism_a,organism_a,,,,,,,,pos 0,e_gen,1.0,3.075465977318914,0.25894285478023327,-0.9269326424074676,0.7799204493617522,1.8862898896155216,Elon Musk vs Mark Zuckerberg,,,,,,,
organism_a,organism_b,,,,,,,,pos 0,e_gen,0.0,2.9656973484859224,0.20206881625323006,-0.8312613466822104,0.8550567175925559,1.8818772625324172,Sam Altman vs Sundar Pichai,,,,,,,
organism_a,organism_a,,,,,,,,gen,e_prompt,0.0,2.2561998200809366,0.304683481857668,-0.25769979508628493,0.17666463143125224,1.6785716706102114,China vs India,,,,,,,
organism_a,organism_b,,,,,,,,gen,e_prompt,0.0,2.3180003478568896,0.3080062026926444,-0.251783399444626,0.17378284139776215,1.762888806035549,Tesla vs Toyota,,,,,,,
organism_a,organism_a,,,,,,,,gen,e_gen,0.0,3.417237269151192,0.41359591454818256,-0.16773648319154497,0.18675353180481336,2.1071179768430914,NATO vs European Union,,,,,,,
organism_a,organism_b,,,,,,,,gen,e_gen,0.0,3.2405311762877753,0.4045923256730091,-0.14181049053846417,0.16914893259114572,2.069177504212649,NATO vs European Union,,,,,,,
organism_c,organism_a,,,,,,,,,,,,,,0.2192068794057803,,,0.13512617825777784,0.05532413844248317,0.0875907121488954,147158.0,,,
organism_a,organism_a,,,,,,,,,,,,,,0.3629105852967465,,,0.26805247614131045,0.11430602763174583,0.12963880168486455,78465.0,,,
organism_c,organism_b,,,,,,,,,,,,,,0.25476548778924885,,,0.1491845025124773,0.07421978777036665,0.1532296270203754,147158.0,,,
organism_a,organism_b,,,,,,,,,,,,,,0.38525123184165877,,,0.27561145986445784,0.12501220041781236,0.1569005846567881,78465.0,,,
organism_c,-,,,,,,,,,,,,,,,,,,,,,124.49915397631133,0.83,0.0025575447570332483
organism_a,-,,,,,,,,,,,,,,,,,,,,,66.38324873096447,0.305,0.0012787723785166241
